Score = -21,A1.04,A1.06,A1.08,A1.10,B0.201,C0.110,C1.112
"Monday, 09:00 - 11:00",Moderne Databases practical,Project Numerical Recipes practical,Interactie-ontwerp lecture,Data Mining practical,Collectieve Intelligentie seminar,Autonomous Agents 2 lecture,Calculus 2 seminar
"Monday, 11:00 - 13:00",Machine Learning lecture,Autonomous Agents 2 practical,Algoritmen en complexiteit practical,Data Mining lecture,Programmeren in Java 2 practical,Bioinformatica seminar,Software engineering lecture
"Monday, 13:00 - 15:00",Compilerbouw lecture,Compilerbouw practicum practical,Bioinformatica practical,Algoritmen en complexiteit seminar,Programmeren in Java 2 practical,Netwerken en systeembeveiliging practical,Moderne Databases seminar
"Monday, 15:00 - 17:00",Lineaire Algebra lecture,Databases 2 seminar,,Reflectie op de digitale cultuur lecture,Bioinformatica seminar,Lineaire Algebra lecture,Heuristieken 1 lecture
"Tuesday, 09:00 - 11:00",Webprogrammeren en databases lecture,Collectieve Intelligentie practical,Algoritmen en complexiteit lecture,Netwerken en systeembeveiliging practical,Technology for games lecture,Project Genetic Algorithms practical,Autonomous Agents 2 practical
"Tuesday, 11:00 - 13:00",,Autonomous Agents 2 practical,,Webprogrammeren en databases lecture,Heuristieken 1 seminar,Compilerbouw lecture,Zoeken sturen en bewegen practical
"Tuesday, 13:00 - 15:00",Collectieve Intelligentie practical,Heuristieken 1 seminar,Heuristieken 2 lecture,Software engineering practical,Project Genetic Algorithms practical,Programmeren in Java 2 practical,Collectieve Intelligentie seminar
"Tuesday, 15:00 - 17:00",Heuristieken 2 seminar,,Data Mining seminar,Technology for games seminar,Advanced Heuristics lecture,Heuristieken 2 seminar,Databases 2 lecture
"Wednesday, 09:00 - 11:00",Moderne Databases practical,Programmeren in Java 2 practical,,Moderne Databases seminar,Netwerken en systeembeveiliging practical,Data Mining seminar,Collectieve Intelligentie practical
"Wednesday, 11:00 - 13:00",,Kansrekenen 2 lecture,,Calculus 2 lecture,Architectuur en computerorganisatie lecture,Compilerbouw seminar,Compilerbouw practical
"Wednesday, 13:00 - 15:00",Compilerbouw practical,Webprogrammeren en databases practical,Collectieve Intelligentie lecture,Data Mining seminar,Compilerbouw practicum practical,Analysemethoden en -technieken lecture,Reflectie op de digitale cultuur seminar
"Wednesday, 15:00 - 17:00",Machine Learning lecture,Autonomous Agents 2 lecture,Project Numerical Recipes practical,Reflectie op de digitale cultuur seminar,Autonomous Agents 2 seminar,Software engineering practical,
"Thursday, 09:00 - 11:00",Project Numerical Recipes practical,Advanced Heuristics practical,Bioinformatica practical,Webprogrammeren en databases seminar,,Collectieve Intelligentie seminar,Compilerbouw seminar
"Thursday, 11:00 - 13:00",Calculus 2 seminar,Moderne Databases practical,Bioinformatica seminar,Collectieve Intelligentie practical,Autonomous Agents 2 seminar,Informatie- en organisatieontwerp lecture,Autonomous Agents 2 seminar
"Thursday, 13:00 - 15:00",Informatie- en organisatieontwerp lecture,Collectieve Intelligentie lecture,Collectieve Intelligentie lecture,Bioinformatica practical,Architectuur en computerorganisatie lecture,,Reflectie op de digitale cultuur lecture
"Thursday, 15:00 - 17:00",Data Mining practical,Compilerbouw practicum practical,Algoritmen en complexiteit practical,Advanced Heuristics practical,Bioinformatica lecture,Bioinformatica lecture,
"Friday, 09:00 - 11:00",Webprogrammeren en databases seminar,Software engineering seminar,Interactie-ontwerp lecture,Data Mining lecture,Project Genetic Algorithms practical,Netwerken en systeembeveiliging practical,
"Friday, 11:00 - 13:00",,Programmeren in Java 2 practical,Databases 2 seminar,Software engineering seminar,Zoeken sturen en bewegen practical,Calculus 2 seminar,Kansrekenen 2 lecture
"Friday, 13:00 - 15:00",Collectieve Intelligentie seminar,,Data Mining practical,Algoritmen en complexiteit seminar,Bioinformatica lecture,Technology for games lecture,Zoeken sturen en bewegen practical
"Friday, 15:00 - 17:00",Reflectie op de digitale cultuur seminar,Moderne Databases seminar,Programmeren in Java 2 practical,Moderne Databases lecture,Webprogrammeren en databases practical,,Technology for games seminar
